service_time,arrival_time        ,inter_arrival_time,time_service_begins,queue_wait_time     ,time_service_ends,time_in_system,server_idle_time
1325.82     ,0.8299999999999272  ,1324.99           ,1325.82            ,0.8299999999999272  ,1330.59          ,5.6           ,0.0
1335.57     ,0.0                 ,1335.57           ,1335.57            ,0.0                 ,1340.4           ,4.83          ,4.980000000000018
1343.34     ,0.0                 ,1343.34           ,1343.34            ,0.0                 ,1348.29          ,4.95          ,2.939999999999827
1351.54     ,0.0                 ,1351.54           ,1351.54            ,0.0                 ,1355.92          ,4.38          ,3.25
1356.27     ,0.0                 ,1356.27           ,1356.27            ,0.0                 ,1360.87          ,4.6           ,0.34999999999990905
1367.55     ,0.0                 ,1367.55           ,1367.55            ,0.0                 ,1372.49          ,4.94          ,6.680000000000064
1383.26     ,0.0                 ,1383.26           ,1383.26            ,0.0                 ,1388.26          ,5.0           ,10.769999999999982
1393.84     ,0.0                 ,1393.84           ,1393.84            ,0.0                 ,1398.39          ,4.55          ,5.579999999999927
1398.39     ,0.2599999999999909  ,1398.13           ,1398.39            ,0.2599999999999909  ,1403.17          ,5.04          ,0.0
1407.84     ,0.0                 ,1407.84           ,1407.84            ,0.0                 ,1412.84          ,5.0           ,4.669999999999845
1422.16     ,0.0                 ,1422.16           ,1422.16            ,0.0                 ,1426.77          ,4.61          ,9.320000000000164
1439.69     ,0.0                 ,1439.69           ,1439.69            ,0.0                 ,1444.43          ,4.74          ,12.920000000000073
1450.24     ,0.0                 ,1450.24           ,1450.24            ,0.0                 ,1455.21          ,4.97          ,5.809999999999945
1460.34     ,0.0                 ,1460.34           ,1460.34            ,0.0                 ,1465.3           ,4.96          ,5.129999999999882
1473.28     ,0.0                 ,1473.28           ,1473.28            ,0.0                 ,1477.74          ,4.46          ,7.980000000000018
1485.34     ,0.0                 ,1485.34           ,1485.34            ,0.0                 ,1489.74          ,4.4           ,7.599999999999909
1492.69     ,0.0                 ,1492.69           ,1492.69            ,0.0                 ,1497.63          ,4.94          ,2.9500000000000455
1503.08     ,0.0                 ,1503.08           ,1503.08            ,0.0                 ,1507.83          ,4.75          ,5.449999999999818
1515.72     ,0.0                 ,1515.72           ,1515.72            ,0.0                 ,1519.95          ,4.23          ,7.8900000000001
1533.93     ,0.0                 ,1533.93           ,1533.93            ,0.0                 ,1537.99          ,4.06          ,13.980000000000018
